            sIP|            dIP|     packets|          bytes|                     sTime|                     eTime|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:45:07.409000|2015/06/02T13:45:07.409000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:45:34.996000|2015/06/02T13:45:34.996000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:45:49.389000|2015/06/02T13:45:49.389000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:45:49.888000|2015/06/02T13:45:49.888000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:45:56.440000|2015/06/02T13:45:56.440000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:46:08.405000|2015/06/02T13:46:08.405000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:46:35.783000|2015/06/02T13:46:35.783000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:46:50.199000|2015/06/02T13:46:50.199000|
     10.0.40.53| 192.168.121.57|           2|             80|2015/06/02T13:46:50.384000|2015/06/02T13:46:50.387000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:46:57.438000|2015/06/02T13:46:57.438000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:47:09.403000|2015/06/02T13:47:09.403000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:47:36.781000|2015/06/02T13:47:36.781000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:47:50.882000|2015/06/02T13:47:50.882000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:47:50.976000|2015/06/02T13:47:50.976000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:47:57.982000|2015/06/02T13:47:57.982000|
     10.0.40.53|192.168.121.158|           2|             80|2015/06/02T13:48:10.399000|2015/06/02T13:48:10.403000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:48:36.795000|2015/06/02T13:48:36.795000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:48:51.380000|2015/06/02T13:48:51.380000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:48:51.877000|2015/06/02T13:48:51.877000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:48:58.449000|2015/06/02T13:48:58.449000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:49:11.409000|2015/06/02T13:49:11.409000|
     67.215.0.8| 192.168.121.57|          26|           1640|2015/06/02T13:40:03.008000|2015/06/02T13:49:35.610000|
     67.215.0.8| 192.168.121.77|          26|           1640|2015/06/02T13:39:40.248000|2015/06/02T13:49:35.610000|
     67.215.0.8|192.168.121.145|          26|           1640|2015/06/02T13:39:42.822000|2015/06/02T13:49:35.922000|
